,Timestamp,How stressed are you because of work?,What is your h-index?,SubjectiveHappinessIndex,At what age did you got tenure? (type 0 if not yet),"Following are 4 questions about subjective happiness... 1.  In general, I consider myself...","2.  Compared with most of my peers, I consider myself:","3.  Some people are generally very happy.  They enjoy life regardless of what is going on, getting the most out of everything.  To what extent does this characterization describe you?","4.  Some people are generally not very happy.  Although they are not depressed, they never seem as happy as they might be.  To what extent does this characterization describe you?","Do you use any reference management tool? ( Mendeley, Zotero, Citationsy, ... )",Would you like to help in a next survey   ?,Your role is...,"Any other comments, suggestions, or questions you'd add...",ref,an email for follow-up in a few months,"Before we start the survey, we need your consent.",Would you like to help in a next survey  (in a few months time) ?,email,Title Length ceil10,subject_1,subject_2,subject_3,subject_4
47,7/9/20 16:54,5,2,5,0,3,6,4,1,5,"Yes,  in a few months",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
48,7/9/20 16:54,5,17,6.5,36,6,7,7,2,5,"Yes,  in a few months",faculty,NA,[ref,NA,NA,NA,NA,10,NA,,,
49,7/9/20 16:57,4,9,5.25,0,6,5,5,3,1,"Yes,  in a few months",Research Dev Manager at MSR,NA,[ref,NA,NA,NA,NA,10,NA,,,
50,7/9/20 17:01,7,18,2.5,0,4,2,2,6,1,"Yes,  in a few months",post doc,NA,[ref,NA,NA,NA,NA,10,NA,,,
51,7/9/20 17:03,2,5,5.75,31,6,6,5,2,3,"Yes,  in a few months",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
52,7/9/20 17:04,3,34,5.5,38,5,6,5,2,1,"Yes,  in a few months",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
53,7/9/20 17:05,4,14,4.25,0,5,6,3,5,1,"Yes,  in a few months",employee,NA,[ref,NA,NA,NA,NA,10,NA,,,
54,7/9/20 17:05,5,10,5.75,34,6,6,6,3,5,"Yes,  in a few months",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
55,7/9/20 17:12,7,8,3.25,0,2,2,2,1,4,"No, I am busy",employee,NA,[ref,NA,NA,NA,NA,10,NA,,,
56,7/9/20 17:12,7,4,1.5,0,1,1,2,6,1,"No, I am busy",faculty,NA,[ref,NA,NA,NA,NA,10,NA,,,
57,7/9/20 17:19,1,19,4.5,50,5,5,5,5,3,"No, I am busy",other (tell us in the comments ),NA,[ref,NA,NA,NA,NA,10,NA,,,
58,7/9/20 17:20,3,3,3.75,0,5,4,3,5,3,"No, I am busy","student, employee",NA,[ref],NA,NA,NA,NA,10,NA,,,
59,7/9/20 17:21,3,NA,5.5,0,6,6,5,3,3,"Yes,  in a few months",post doc,NA,[ref],NA,NA,NA,NA,10,NA,,,
60,7/9/20 17:25,3,54,5.5,36,6,4,6,2,5,"Yes,  in a few months",faculty,Question 1 is not well posed : more or less happy than what?,[ref],NA,NA,NA,NA,10,NA,,,
61,7/9/20 17:25,3,10,5.5,0,6,6,4,2,1,"No, I am busy",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
62,7/9/20 17:28,5,1,2.75,NA,4,3,2,6,1,"Yes,  in a few months",student,Please share the results of this survey with us.,NA,NA,NA,NA,NA,10,NA,,,
63,7/9/20 17:29,5,1,3.75,0,5,4,3,5,1,"Yes,  in a few months",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
64,7/9/20 17:32,6,3,3,0,5,3,2,6,5,"No, I am busy",student,NA,[ref,NA,NA,NA,NA,10,NA,,,
65,7/9/20 17:33,5,1,2.75,0,3,3,3,6,3,"Yes,  in a few months",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
66,7/9/20 17:35,7,3,4.75,0,6,5,2,2,1,"Yes,  in a few months",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
67,7/9/20 17:37,4,1,5.25,0,5,4,7,3,3,"Yes,  in a few months",student,no,[ref],NA,NA,NA,NA,10,NA,,,
68,7/9/20 17:44,5,9,4.75,0,4,5,5,3,2,"Yes,  in a few months",post doc,NA,[ref,NA,NA,NA,NA,10,NA,,,
69,7/9/20 17:46,2,2,4.75,0,7,,6,2,1,NA,post doc,NA,NA,NA,NA,NA,NA,10,NA,,,
70,7/9/20 17:47,3,3,5.5,0,6,4,6,2,5,"Yes,  in a few months","student, faculty",NA,[ref,NA,NA,NA,NA,10,NA,,,
71,7/9/20 17:48,5,2,3.25,0,5,3,2,5,1,"Yes,  in a few months",student,NA,NA,NA,NA,NA,NA,10,NA,,,
72,7/9/20 17:55,2,5,6.5,0,6,7,6,1,1,"No, I am busy",employee,NA,[ref,NA,NA,NA,NA,10,NA,,,
73,7/9/20 18:02,1,NA,6.75,0,7,7,6,1,1,"No, I am busy",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
74,7/9/20 18:08,2,NA,5.75,NA,6,5,6,2,4,"Yes,  in a few months",employee,NA,[ref],NA,NA,NA,NA,10,NA,,,
75,7/9/20 18:10,6,5,3.25,0,4,3,3,5,1,"Yes,  in a few months",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
76,7/9/20 18:14,5,12,3,0,3,5,1,5,5,"Yes,  in a few months",post doc,NA,[ref],NA,NA,NA,NA,10,NA,,,
77,7/9/20 18:14,2,8,5.75,0,6,6,5,2,1,"Yes,  in a few months",student,No,[ref],NA,NA,NA,NA,10,NA,,,
78,7/9/20 18:19,5,3,5.75,0,6,5,5,1,2,"No, I am busy",post doc,NA,[ref],NA,NA,NA,NA,10,NA,,,
79,7/9/20 18:28,2,8,5.25,26,5,5,6,3,3,"Yes,  in a few months",employee,"Q3 We haven't permanent positions in Russia, but we can have unlimited number of 5yr positions; Q8 I don't know what do you mean for ""management tool""; Q10 If ""employee"" is a researcher (over postdocs)",[ref],NA,NA,NA,NA,10,NA,,,
80,7/9/20 18:32,6,6,4.5,0,5,6,4,5,2,"No, I am busy",post doc,NA,[ref],NA,NA,NA,NA,10,NA,,,
81,7/9/20 18:52,6,11,4.75,0,5,4,4,2,2,"Yes,  in a few months",student,NA,[ref],NA,NA,NA,NA,10,NA,,,
82,7/9/20 18:58,5,0,4,0,4,5,3,4,1,"No, I am busy",student,NA,[ref,NA,NA,NA,NA,10,NA,,,
83,7/9/20 18:59,5,5,6.25,27,6,7,6,2,1,"Yes,  in a few months","faculty, post doc",NA,112358,NA,NA,NA,NA,10,NA,,,
84,7/9/20 19:07,6,10,5,40,6,6,6,6,4,"Yes,  in a few months",faculty,NA,[ref],NA,NA,NA,NA,10,NA,,,
85,7/9/20 19:22,5,6,5.25,0,6,6,5,4,5,Depends on the survey,"student, employee",NA,,,NA,NA,NA,10,NA,,,
86,7/9/20 19:23,3,0,4,0,4,4,4,4,1,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
87,7/9/20 19:24,4,9,4,0,3,3,5,3,2,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
88,7/9/20 19:25,6,2,4,0,4,4,4,4,4,"Yes,  in a few months",post doc,Writing my h-index made me want to increase my 'stressed because of work' response ;) I feel numb so unable to answer descriptively about happiness.,,,NA,NA,NA,10,NA,,,
89,7/9/20 19:30,6,0,5,0,5,5,4,2,5,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
90,7/9/20 19:34,5,5,5.25,39,5,5,5,2,3,"No, I am busy",faculty,NA,,,NA,NA,NA,10,NA,,,
91,7/9/20 20:12,5,8,3.25,33,3,4,3,5,4,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
92,7/9/20 20:25,5,5,6.25,0,6,6,7,2,5,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
93,7/9/20 20:45,6,1.2,4.75,0,4,5,5,3,2,I dont think I am great candidate for these surveys. I only have one paper published!,employee,Bonne Chance,,,NA,NA,NA,10,NA,,,
94,7/9/20 21:12,3,5,4,0,5,4,5,6,5,"Yes,  in a few months","student, employee",NA,,,NA,NA,NA,10,NA,,,
95,7/9/20 21:20,2,3,6,33,6,6,6,2,1,"No, I am busy",other (tell us in the comments ),Good luck,,,NA,NA,NA,10,NA,,,
96,7/9/20 21:24,7,0,3,0,3,2,4,5,3,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
97,7/9/20 21:46,1,2,6,0,6,6,6,2,1,"No, I am busy",post doc,NA,,,NA,NA,NA,10,NA,,,
98,7/9/20 21:53,4,3,5.5,0,5,4,6,1,1,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
99,7/9/20 22:23,7,1,5.25,0,5,6,5,3,5,"No, I am busy",student,NA,,,NA,NA,NA,10,NA,,,
100,7/9/20 22:42,5,6,5.25,0,5,4,6,2,2,"Yes,  in a few months",employee,NA,,,NA,NA,NA,10,NA,,,
101,7/9/20 22:48,6,6,3,0,4,3,3,6,4,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
102,7/9/20 23:29,4,4,3.25,0,3,4,3,5,1,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
103,7/9/20 23:30,1,2,6.25,0,6,6,6,1,5,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
104,7/9/20 23:30,2,0,6.5,0,6,6,7,1,1,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
105,7/9/20 23:31,1,-1,4,0,4,4,1,1,5,"Yes,  in a few months",just amature,lol!,,,NA,NA,NA,10,NA,,,
106,7/9/20 23:31,4,49,5.25,33,,7,7,1,5,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
107,7/9/20 23:32,1,,6.5,32,7,6,6,1,1,"No, I am busy",faculty,I have no idea what an h-index is.,,,NA,NA,NA,10,NA,,,
108,7/9/20 23:32,6,7,5.25,26,5,6,4,2,5,"Yes,  in a few months","post doc, employee",NA,,,NA,NA,NA,10,NA,,,
109,7/9/20 23:32,7,3,4,0,3,3,5,3,2,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
110,7/9/20 23:32,7,0,4,0,1,3,5,1,5,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
111,7/9/20 23:32,5,2,6.25,0,6,6,6,1,5,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
112,7/9/20 23:33,4,5,5.75,0,5,6,6,2,5,"No, I am busy",student,NA,,,NA,NA,NA,10,NA,,,
113,7/9/20 23:33,4,4,4.75,0,6,5,4,4,1,"No, I am busy",student,NA,,,NA,NA,NA,10,NA,,,
114,7/9/20 23:33,3,4,3.25,0,4,5,1,5,1,"No, I am busy",student,NA,,,NA,NA,NA,10,NA,,,
115,7/9/20 23:35,5,2,3.5,0,4,3,2,3,2,"No, I am busy",employee,I left academics to stay mentally stable.,,,NA,NA,NA,10,NA,,,
116,7/9/20 23:35,6,5,4.75,0,5,4,5,3,4,"No, I am busy",student,NA,,,NA,NA,NA,10,NA,,,
117,7/9/20 23:35,5,3,3.75,0,3,4,3,3,5,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
118,7/9/20 23:36,2,13,7,40,7,7,7,1,4,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
119,7/9/20 23:38,5,5,5.5,0,6,7,7,6,5,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
120,7/9/20 23:38,4,7,5,0,4,6,5,3,1,"No, I am busy","student, post doc",NA,,,NA,NA,NA,10,NA,,,
121,7/9/20 23:38,3,19,5.5,33,5,5,5,1,3,"No, I am busy",faculty,NA,,,NA,NA,NA,10,NA,,,
122,7/9/20 23:39,6,69,6.25,31,6,6,6,1,1,"If it is short, sure",faculty,NA,,,NA,NA,NA,10,NA,,,
123,7/9/20 23:39,4,9,5.5,0,5,5,5,1,3,"No, I am busy",faculty,NA,,,NA,NA,NA,10,NA,,,
124,7/9/20 23:39,6,NA,4.5,0,4,5,5,4,2,"Yes,  in a few months",other (tell us in the comments ),NA,,,NA,NA,NA,10,NA,,,
125,7/9/20 23:40,3,22,6.25,0,6,5,7,1,2,"No, I am busy",post doc,NA,,,NA,NA,NA,10,NA,,,
126,7/9/20 23:40,4,0,4.5,0,5,5,4,4,4,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
127,7/9/20 23:40,5,30,5.75,30,6,5,6,2,1,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
128,7/9/20 23:40,5,3,5.5,0,6,6,5,3,1,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
129,7/9/20 23:41,4,1,6.25,29,6,6,6,1,5,"No, I am busy",employee,NA,,,NA,NA,NA,10,NA,,,
130,7/9/20 23:41,6,0,4,0,4,4,2,2,1,"Yes,  in a few months",Phd student,NA,,,NA,NA,NA,10,NA,,,
131,7/9/20 23:41,5,12,3.75,0,4,4,3,4,1,"No, I am busy",faculty,NA,,,NA,NA,NA,10,NA,,,
132,7/9/20 23:41,5,4,4,0,5,6,3,6,1,"Yes,  in a few months","other (tell us in the comments ), Researcher in industry",NA,,,NA,NA,NA,10,NA,,,
133,7/9/20 23:42,7,44,3,38,4,2,3,5,1,may be,faculty,NA,,,NA,NA,NA,10,NA,,,
134,7/9/20 23:42,6,8,3.75,0,5,5,2,5,4,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
135,7/9/20 23:42,2,NA,5,0,5,4,6,3,1,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
136,7/9/20 23:43,6,2,3,0,3,1,2,2,5,NA,student,NA,,,NA,NA,NA,10,NA,,,
137,7/9/20 23:43,5,9,3.25,0,4,3,2,4,2,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
138,7/9/20 23:43,7,3,4.25,0,6,4,4,5,3,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
139,7/9/20 23:43,6,5,4.25,NA,4,5,2,2,1,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
140,7/9/20 23:43,5,2,3.75,0,3,4,4,4,2,"Yes,  in a few months",employee,NA,,,NA,NA,NA,10,NA,,,
141,7/9/20 23:43,6,7,4.25,0,5,5,2,3,1,"No, I am busy",post doc,NA,,,NA,NA,NA,10,NA,,,
142,7/9/20 23:44,5,3,5.25,0,5,5,5,2,1,"No, I am busy",student,NA,,,NA,NA,NA,10,NA,,,
143,7/9/20 23:44,6,8,1.75,0,3,2,1,7,1,"No, I am busy",student,NA,,,NA,NA,NA,10,NA,,,
144,7/9/20 23:44,2,5,4,0,4,4,2,2,1,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
145,7/9/20 23:45,2,30,5.75,0,6,6,6,3,5,"No, I am busy",faculty,none,,,NA,NA,NA,10,NA,,,
146,7/9/20 23:45,7,3,3.25,0,2,3,3,3,1,"No, I am busy",employee,NA,,,NA,NA,NA,10,NA,,,
147,7/9/20 23:45,4,35,4,36,5,5,3,5,2,"No, I am busy",faculty,NA,,,NA,NA,NA,10,NA,,,
148,7/9/20 23:45,4,NA,4.5,0,6,4,4,4,1,"No, I am busy",post doc,NA,,,NA,NA,NA,10,NA,,,
149,7/9/20 23:46,6,19,4,0,4,5,4,5,2,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
150,7/9/20 23:46,4,4,5,0,6,6,4,4,3,"No, I am busy",student,no,,,NA,NA,NA,10,NA,,,
151,7/9/20 23:46,5,7,3,0,3,3,3,5,1,"No, I am busy",employee,NA,,,NA,NA,NA,10,NA,,,
152,7/9/20 23:46,3,38,5.5,35,6,6,5,3,1,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
153,7/9/20 23:46,7,8,1,0,1,1,1,7,5,"No, I am busy, Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
154,7/9/20 23:47,5,3,4.75,0,5,4,5,3,1,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
155,7/9/20 23:47,3,NA,4.25,0,5,4,4,4,3,"No, I am busy",employee,NA,,,NA,NA,NA,10,NA,,,
156,7/9/20 23:47,4,28,4.75,29,,6,6,1,1,"No, I am busy",faculty,NA,,,NA,NA,NA,10,NA,,,
157,7/9/20 23:47,4,3,5.75,0,5,7,5,2,1,"No, I am busy",employee,NA,,,NA,NA,NA,10,NA,,,
158,7/9/20 23:47,5,11,3.25,0,5,,5,5,2,"No, I am busy",faculty,NA,,,NA,NA,NA,10,NA,,,
159,7/9/20 23:47,6,6,3,0,4,3,2,5,1,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
160,7/9/20 23:47,6,14,4.25,0,5,6,4,6,5,"Yes,  in a few months",employee,NA,,,NA,NA,NA,10,NA,,,
161,7/9/20 23:48,2,5,6.25,0,6,6,6,1,1,"Yes,  in a few months",employee,NA,,,NA,NA,NA,10,NA,,,
162,7/9/20 23:48,5,23,5.75,30,6,5,5,1,1,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
163,7/9/20 23:48,4,1,4.5,0,4,4,5,3,1,"No, I am busy",student,NA,,,NA,NA,NA,10,NA,,,
164,7/9/20 23:49,3,1,3,0,3,4,3,6,4,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
165,7/9/20 23:49,3,1,6.75,0,6,7,7,1,5,Only if it's specific to my demographic and very sparse in time...,student,NA,,,NA,NA,NA,10,NA,,,
166,7/9/20 23:49,3,5,6.5,0,6,6,7,1,1,dont know,student,NA,,,NA,NA,NA,10,NA,,,
167,7/9/20 23:51,4,15,4.25,41,5,5,2,3,3,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
168,7/9/20 23:51,2,6,6.25,0,6,6,6,1,1,"Yes,  in a few months",employee,NA,,,NA,NA,NA,10,NA,,,
169,7/9/20 23:52,4,6,5.25,0,5,4,6,2,5,"Yes,  in a few months",employee,NA,,,NA,NA,NA,10,NA,,,
170,7/9/20 23:52,7,0,5.25,0,5,5,4,1,5,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
171,7/9/20 23:52,4,NA,5,0,5,5,5,3,4,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
172,7/9/20 23:52,2,25,6,30,6,6,6,2,2,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
173,7/9/20 23:53,3,8,2.5,0,3,3,2,6,1,"Yes,  in a few months",employee,NA,,,NA,NA,NA,10,NA,,,
174,7/9/20 23:54,6,25,5.25,0,6,4,5,2,5,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
175,7/9/20 23:54,3,15,4.75,30,5,5,3,2,1,"No, I am busy",faculty,NA,,,NA,NA,NA,10,NA,,,
176,7/9/20 23:54,4,1,4,0,2,3,6,3,1,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
177,7/9/20 23:55,5,8,5.5,0,6,4,6,2,4,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
178,7/9/20 23:55,5,4,5.75,0,6,6,6,3,4,"No, I am busy",Researcher,NA,,,NA,NA,NA,10,NA,,,
179,7/9/20 23:55,3,0,6.25,0,6,7,6,2,5,"Yes,  in a few months",student,NA,,,NA,NA,NA,10,NA,,,
180,7/9/20 23:56,6,24,5.25,24,6,6,5,4,1,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
181,7/9/20 23:58,4,5,5.25,30,6,6,4,3,4,"Yes,  in a few months",employee,NA,,,NA,NA,NA,10,NA,,,
182,7/9/20 23:58,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,10,NA,,,
183,7/10/20 0:00,6,NA,4.5,0,5,4,5,4,2,"No, I am busy",student,NA,,,NA,NA,NA,10,NA,,,
184,7/10/20 0:02,6,42,5.5,38,6,4,5,1,1,"Yes,  in a few months",faculty,NA,,,NA,NA,NA,10,NA,,,
185,7/10/20 0:02,4,NA,6,30,6,7,5,2,3,"Yes,  in a few months","faculty, PI",NA,,,NA,NA,NA,10,NA,,,
186,7/10/20 0:04,4,0.7,3.75,0,5,4,3,5,4,"Yes,  in a few months",post doc,NA,,,NA,NA,NA,10,NA,,,
